@relation accelerometer

@attribute time numeric
@attribute averageOfVariDiffOfPrecedingWindows numeric
@attribute varianceOfVariDiffOfPrecedingWindows numeric
@attribute averageOfAverageOfPrecedingWindows numeric
@attribute varianceOfAverageOfPrecedingWindows numeric
@attribute variDiffOfCurWindow numeric
@attribute averageOfVariDiffOfSucceedingWindows numeric
@attribute varianceOfVariDiffOfSucceedingWindows numeric
@attribute averageOfAverageOfSucceedingWindows numeric
@attribute varianceOfAverageOfSucceedingWindows numeric
@attribute class {n,p,u}

@data
62950,  2.034, 12.855,  8.791, 12.891, -4.113, -0.238,  8.656,  2.309, 21.719,n
62951,  1.715, 14.183,  9.139, 10.818,  8.177, -0.566,  5.596,  1.843, 18.081,n
62952,  1.879, 15.661,  9.530,  8.717,  3.254, -0.696,  4.984,  1.370, 13.818,n
62953,  1.824, 15.423,  9.918,  6.521, -0.516, -0.675,  5.003,  0.887,  8.864,n
62954,  1.658, 15.485, 10.267,  4.798, -5.945, -0.436,  3.807,  0.419,  3.763,n
62957,  1.260, 17.503, 10.545,  3.549, -9.788, -0.044,  0.011,  0.030,  0.001,u
62976,  0.664, 21.600, 10.712,  2.518, -0.452, -0.026,  0.003,  0.027,  0.000,n
62977,  0.355, 19.725, 10.443,  6.511, -0.220, -0.017,  0.002,  0.025,  0.000,n
62978, -0.004, 16.667, 10.122, 10.654, -0.149, -0.012,  0.001,  0.023,  0.000,n
62979, -0.247, 15.144,  9.779, 14.650, -0.115, -0.008,  0.001,  0.020,  0.000,n
62980, -0.392, 14.534,  9.447, 18.386, -0.086, -0.006,  0.000,  0.018,  0.000,n
62981, -0.497, 14.167,  9.121, 21.883, -0.069,  0.687, 11.909,  0.232,  1.154,n
62982, -0.485, 14.173,  8.761, 25.171,  0.001,  1.116, 15.890,  0.566,  3.802,n
62983, -0.389, 14.019,  8.346, 28.068,  0.002,  0.676, 21.744,  0.868,  5.731,n
62984, -0.327, 13.966,  7.894, 30.386,  0.005,  0.560, 22.241,  1.206,  7.986,n
62989, -0.326, 13.967,  7.433, 32.195, -0.006,  0.698, 22.553,  1.585, 10.633,n
62990, -0.478, 13.238,  6.973, 33.572, -0.002,  0.885, 23.155,  1.992, 13.443,n
62991, -0.643, 12.341,  6.498, 34.347,  0.009,  1.152, 24.449,  2.417, 16.210,n
62992, -0.792, 11.535,  6.020, 34.613,  0.015,  1.449, 25.948,  2.860, 18.898,n
62993, -0.950, 10.592,  5.547, 34.470,  0.017,  1.719, 26.964,  3.272, 20.720,n
62998, -0.995, 10.446,  5.078, 33.910, -0.017,  1.922, 27.260,  3.725, 22.775,n
62999, -0.930, 10.465,  4.624, 33.105, -0.011,  2.035, 27.125,  4.228, 25.233,n
63000, -0.772, 10.088,  4.170, 31.873, -0.012,  2.111, 26.945,  4.759, 27.622,n
63001, -0.609,  9.631,  3.689, 29.761, -0.020,  2.048, 27.328,  5.291, 29.450,n
63002, -0.481,  9.344,  3.201, 27.038, -0.024,  1.979, 27.744,  5.819, 30.623,n
63007, -0.403,  9.251,  2.727, 24.087, -0.010,  1.856, 28.630,  6.341, 31.122,n
63008, -0.238,  8.656,  2.309, 21.719, -0.008,  1.643, 30.588,  6.816, 30.503,n
63009, -0.566,  5.596,  1.843, 18.081,  0.007,  1.313, 34.440,  7.234, 28.951,n
63010, -0.696,  4.984,  1.370, 13.818,  0.011,  0.990, 37.916,  7.601, 26.798,n
63011, -0.675,  5.003,  0.887,  8.864,  0.011,  0.653, 41.448,  7.911, 24.303,n
63012, -0.436,  3.807,  0.419,  3.763,  0.010,  0.205, 47.075,  8.201, 21.636,n
63013, -0.044,  0.011,  0.030,  0.001,  0.012, -0.192, 51.158,  8.434, 19.016,n
63014, -0.026,  0.003,  0.027,  0.000, -0.011, -0.477, 53.083,  8.615, 16.666,n
63015, -0.017,  0.002,  0.025,  0.000, -0.020, -0.600, 53.348,  8.767, 14.517,n
63016, -0.012,  0.001,  0.023,  0.000, -0.017, -0.665, 53.373,  8.906, 12.464,n
63017, -0.008,  0.001,  0.020,  0.000, -0.015, -0.411, 55.338,  8.969, 11.392,n
63026, -0.006,  0.000,  0.018,  0.000, 17.251, -0.939, 42.873,  8.854, 12.583,n
63027,  0.687, 11.909,  0.232,  1.154, 10.718, -1.314, 37.283,  8.618, 14.211,n
63031,  1.116, 15.890,  0.566,  3.802,-10.991, -0.881, 33.241,  8.413, 15.714,n
63032,  0.676, 21.744,  0.868,  5.731, -2.890, -0.821, 33.080,  8.172, 17.131,n
63033,  0.560, 22.241,  1.206,  7.986,  3.437, -1.067, 32.411,  7.895, 18.294,n
63034,  0.698, 22.553,  1.585, 10.633,  4.677, -1.250, 31.059,  7.492, 20.425,n
63035,  0.885, 23.155,  1.992, 13.443,  6.682, -0.673, 48.892,  7.866, 26.377,n
63036,  1.152, 24.449,  2.417, 16.210,  7.434, -0.106, 66.495,  8.271, 33.175,n
63037,  1.449, 25.948,  2.860, 18.898,  6.764, -1.314, 85.658,  8.790, 42.148,n
63038,  1.719, 26.964,  3.272, 20.720,  5.057, -1.348, 85.230,  8.500, 42.711,n
63039,  1.922, 27.260,  3.725, 22.775,  2.828, -1.501, 84.484,  8.032, 44.178,n
63040,  2.035, 27.125,  4.228, 25.233,  1.881, -1.617, 84.004,  7.530, 44.980,n
63041,  2.111, 26.945,  4.759, 27.622, -1.607, -1.570, 84.060,  7.007, 45.498,n
63042,  2.048, 27.328,  5.291, 29.450, -1.746, -1.505, 84.142,  6.481, 45.619,n
63043,  1.979, 27.744,  5.819, 30.623, -3.080, -1.382, 84.116,  5.958, 45.275,n
63044,  1.856, 28.630,  6.341, 31.122, -5.327, -1.168, 83.502,  5.483, 45.038,n
63045,  1.643, 30.588,  6.816, 30.503, -8.250, -0.833, 81.366,  5.065, 45.059,n
63046,  1.313, 34.440,  7.234, 28.951, -8.053, -0.511, 79.115,  4.700, 45.277,n
63047,  0.990, 37.916,  7.601, 26.798, -8.421, -0.174, 76.400,  4.390, 45.695,n
63048,  0.653, 41.448,  7.911, 24.303,-11.200,  0.274, 71.126,  4.101, 46.053,n
63049,  0.205, 47.075,  8.201, 21.636, -9.892,  0.669, 66.661,  3.868, 46.555,n
63050, -0.192, 51.158,  8.434, 19.016, -7.138,  0.953, 64.058,  3.689, 47.115,n
63051, -0.477, 53.083,  8.615, 16.666, -3.113,  1.076, 63.395,  3.538, 47.645,n
63052, -0.600, 53.348,  8.767, 14.517, -1.634,  1.141, 63.133,  3.399, 48.139,n
63055, -0.665, 53.373,  8.906, 12.464,  6.348,  0.886, 61.992,  3.337, 48.473,n
63056, -0.411, 55.338,  8.969, 11.392,  4.036,  0.724, 61.585,  3.237, 48.892,n
63057, -0.939, 42.873,  8.854, 12.583,  1.352,  0.669, 61.589,  3.139, 49.289,n
63058, -1.314, 37.283,  8.618, 14.211, -0.167,  0.675, 61.579,  3.042, 49.664,n
63059, -0.881, 33.241,  8.413, 15.714, -1.387,  0.731, 61.418,  2.945, 50.020,n
63060, -0.821, 33.080,  8.172, 17.131, -2.716,  0.839, 60.933,  2.844, 50.358,n
63067, -1.067, 32.411,  7.895, 18.294,  0.107,  0.853, 60.917,  2.857, 50.287,n
63076, -1.250, 31.059,  7.492, 20.425, 21.093, -0.009, 43.145,  2.075, 37.658,n
63077, -0.673, 48.892,  7.866, 26.377, 21.603, -0.890, 22.881,  1.242, 21.827,n
63086, -0.106, 66.495,  8.271, 33.175,-23.421,  0.028,  0.859,  0.322,  0.677,n
63096, -1.314, 85.658,  8.790, 42.148,  4.195, -0.157,  0.109,  0.167,  0.060,n
63105, -1.348, 85.230,  8.500, 42.711, -0.999, -0.138,  0.085,  0.139,  0.037,n
63106, -1.501, 84.484,  8.032, 44.178, -0.999, -0.113,  0.055,  0.113,  0.021,n
63107, -1.617, 84.004,  7.530, 44.980, -0.442, -0.094,  0.051,  0.104,  0.020,n
63108, -1.570, 84.060,  7.007, 45.498, -0.114, -0.088,  0.052,  0.103,  0.020,n
63109, -1.505, 84.142,  6.481, 45.619, -0.014, -0.087,  0.052,  0.104,  0.020,n
63110, -1.382, 84.116,  5.958, 45.275,  0.023, -0.089,  0.052,  0.104,  0.020,n
63114, -1.168, 83.502,  5.483, 45.038,  0.137, -0.095,  0.050,  0.104,  0.020,n
63115, -0.833, 81.366,  5.065, 45.059, -0.002, -0.095,  0.050,  0.104,  0.020,n
63116, -0.511, 79.115,  4.700, 45.277,  0.001, -0.096,  0.050,  0.104,  0.020,n
63117, -0.174, 76.400,  4.390, 45.695,  0.002, -0.098,  0.049,  0.104,  0.020,n
63118,  0.274, 71.126,  4.101, 46.053, -0.015, -0.097,  0.049,  0.103,  0.020,n
63119,  0.669, 66.661,  3.868, 46.555, -0.045, -0.096,  0.050,  0.101,  0.021,n
63120,  0.953, 64.058,  3.689, 47.115, -0.045, -0.092,  0.050,  0.100,  0.021,n
63121,  1.076, 63.395,  3.538, 47.645, -0.003, -0.082,  0.055,  0.102,  0.020,n
63122,  1.141, 63.133,  3.399, 48.139, -0.021,  0.039,  0.437,  0.164,  0.105,n
63123,  0.886, 61.992,  3.337, 48.473, -0.021,  0.307,  2.210,  0.347,  0.894,n
63124,  0.724, 61.585,  3.237, 48.892, -0.020,  0.719,  6.153,  0.692,  3.629,n
63125,  0.669, 61.589,  3.139, 49.289, -0.019,  1.222, 11.724,  1.097,  7.155,n
63126,  0.675, 61.579,  3.042, 49.664, -0.004,  0.829, 16.603,  1.721, 15.499,n
63127,  0.731, 61.418,  2.945, 50.020,  0.003,  0.610, 18.174,  2.320, 22.350,n
63147,  0.839, 60.933,  2.844, 50.358,  0.456,  0.590, 18.190,  2.864, 27.643,n
63152,  0.853, 60.917,  2.857, 50.287, -0.451,  0.694, 18.234,  3.500, 34.532,n
63153, -0.009, 43.145,  2.075, 37.658, -0.444,  0.845, 18.448,  4.139, 40.591,n
63154, -0.890, 22.881,  1.242, 21.827, -0.448,  2.164, 58.382,  4.898, 48.911,n
63155,  0.028,  0.859,  0.322,  0.677, -0.430,  2.629, 61.271,  5.682, 56.657,n
63156, -0.157,  0.109,  0.167,  0.060, -0.537,  3.082, 63.420,  6.564, 66.044,n
63157, -0.138,  0.085,  0.139,  0.037, -0.362,  3.412, 63.771,  7.546, 76.925,n
63158, -0.113,  0.055,  0.113,  0.021,  0.021,  3.584, 63.296,  8.529, 85.696,n
63159, -0.094,  0.051,  0.104,  0.020,  0.026,  3.506, 64.022,  9.482, 91.507,n
63160, -0.088,  0.052,  0.103,  0.020,  0.027,  3.287, 66.806, 10.443, 95.666,n
63161, -0.087,  0.052,  0.104,  0.020, -0.021,  3.029, 70.248, 10.462, 95.261,n
63162, -0.089,  0.052,  0.104,  0.020, -0.017,  2.959, 70.823, 10.478, 94.922,n
63163, -0.095,  0.050,  0.104,  0.020, -0.015,  2.918, 71.118, 10.491, 94.631,n
63164, -0.095,  0.050,  0.104,  0.020, -0.022,  2.889, 71.311, 10.503, 94.378,n
63165, -0.096,  0.050,  0.104,  0.020, -0.034,  2.866, 71.468, 10.513, 94.153,n
63168, -0.098,  0.049,  0.104,  0.020, -0.009,  2.847, 71.593, 10.523, 93.940,n
63170, -0.097,  0.049,  0.103,  0.020, -0.006,  2.847, 71.590, 10.523, 93.941,n
63171, -0.096,  0.050,  0.101,  0.021,  0.049,  2.846, 71.598, 10.523, 93.943,n
63172, -0.092,  0.050,  0.100,  0.021,  0.238,  2.837, 71.650, 10.520, 94.009,n
63173, -0.082,  0.055,  0.102,  0.020,  3.008,  2.717, 71.967, 10.458, 95.262,p
63174,  0.039,  0.437,  0.164,  0.105,  6.698,  2.449, 71.539, 10.274, 98.352,n
63175,  0.307,  2.210,  0.347,  0.894, 10.256,  2.039, 69.073,  9.929,102.503,n
63176,  0.719,  6.153,  0.692,  3.629, 12.575,  1.536, 64.355,  9.524,106.421,n
63200,  1.222, 11.724,  1.097,  7.155, -9.845,  1.932, 58.888,  8.900,108.217,n
63201,  0.829, 16.603,  1.721, 15.499, -5.463,  2.152, 56.707,  8.302,109.569,n
63202,  0.610, 18.174,  2.320, 22.350, -0.042,  2.156, 56.691,  7.741,110.705,n
63203,  0.590, 18.190,  2.864, 27.643,  2.138,  2.072, 56.869,  7.089,109.663,n
63204,  0.694, 18.234,  3.500, 34.532,  3.340,  1.939, 56.959,  6.436,107.708,n
63209,  0.845, 18.448,  4.139, 40.591, 32.524,  0.637, 16.378,  5.668,101.933,n
63210,  2.164, 58.382,  4.898, 48.911, 11.190,  0.188, 11.546,  4.876, 94.234,n
63211,  2.629, 61.271,  5.682, 56.657, 10.797, -0.244,  6.663,  3.987, 81.808,n
63212,  3.082, 63.420,  6.564, 66.044,  7.880, -0.559,  3.812,  3.002, 63.660,n
63213,  3.412, 63.771,  7.546, 76.925,  4.324, -0.732,  2.800,  2.019, 43.567,n
63214,  3.584, 63.296,  8.529, 85.696, -1.916, -0.656,  2.758,  1.066, 22.950,n
63215,  3.506, 64.022,  9.482, 91.507, -5.444, -0.439,  1.771,  0.105,  0.023,n
63235,  3.287, 66.806, 10.443, 95.666, -6.470, -0.180,  0.193,  0.086,  0.016,n
63236,  3.029, 70.248, 10.462, 95.261, -1.788, -0.108,  0.081,  0.070,  0.011,u
63237,  2.959, 70.823, 10.478, 94.922, -1.037, -0.067,  0.044,  0.057,  0.008,u
63238,  2.918, 71.118, 10.491, 94.631, -0.729, -0.038,  0.025,  0.045,  0.005,n
63239,  2.889, 71.311, 10.503, 94.378, -0.620, -0.013,  0.011,  0.035,  0.002,n
63240,  2.866, 71.468, 10.513, 94.153, -0.495,  0.007,  0.000,  0.025,  0.000,n
63241,  2.847, 71.593, 10.523, 93.940,  0.011,  0.006,  0.000,  0.026,  0.000,n
63242,  2.847, 71.590, 10.523, 93.941,  0.012,  0.006,  0.000,  0.026,  0.000,n
63243,  2.846, 71.598, 10.523, 93.943,  0.010,  0.006,  0.000,  0.027,  0.000,n
63244,  2.837, 71.650, 10.520, 94.009,  0.008,  0.006,  0.000,  0.027,  0.000,n
63245,  2.717, 71.967, 10.458, 95.262,  0.001,  0.056,  0.062,  0.075,  0.055,n
63246,  2.449, 71.539, 10.274, 98.352,  0.003,  0.125,  0.172,  0.129,  0.121,n
63247,  2.039, 69.073,  9.929,102.503,  0.018,  0.196,  0.282,  0.177,  0.169,n
63248,  1.536, 64.355,  9.524,106.421,  0.043,  0.294,  0.491,  0.241,  0.251,n
63249,  1.932, 58.888,  8.900,108.217,  0.045,  0.449,  1.012,  0.347,  0.489,n
63250,  2.152, 56.707,  8.302,109.569,  0.048,  0.689,  2.255,  0.510,  1.045,n
63251,  2.156, 56.691,  7.741,110.705,  0.045,  1.058,  5.161,  0.736,  2.096,n
63252,  2.072, 56.869,  7.089,109.663,  0.022,  1.571, 10.626,  1.030,  3.837,n
63257,  1.939, 56.959,  6.436,107.708, -0.033,  2.170, 17.597,  1.394,  6.417,n
63258,  0.637, 16.378,  5.668,101.933, -0.028,  2.700, 22.190,  1.794,  9.282,n
63259,  0.188, 11.546,  4.876, 94.234,  0.000,  2.846, 21.902,  2.416, 16.660,n
63260, -0.244,  6.663,  3.987, 81.808, -0.005,  3.067, 21.813,  3.110, 25.250,n
63261, -0.559,  3.812,  3.002, 63.660, -0.012,  3.197, 21.401,  3.844, 34.000,n
63262, -0.732,  2.800,  2.019, 43.567, -0.009,  3.288, 21.000,  4.581, 41.713,n
63263, -0.656,  2.758,  1.066, 22.950, -0.002,  3.331, 20.753,  5.277, 47.216,n
63264, -0.439,  1.771,  0.105,  0.023, -0.007,  3.400, 20.392,  5.993, 52.194,n
63265, -0.180,  0.193,  0.086,  0.016,  0.003,  3.391, 20.459,  6.702, 55.953,n
63266, -0.108,  0.081,  0.070,  0.011,  0.002,  3.390, 20.467,  7.357, 57.571,n
63267, -0.067,  0.044,  0.057,  0.008, -0.003,  3.437, 20.190,  8.025, 58.523,n
63268, -0.038,  0.025,  0.045,  0.005,  0.003,  3.596, 19.685,  8.711, 58.848,n
63269, -0.013,  0.011,  0.035,  0.002,  0.001,  3.848, 19.383,  9.389, 58.074,n
63270,  0.007,  0.000,  0.025,  0.000, -0.008,  4.379, 22.177,  9.632, 54.812,n
63278,  0.006,  0.000,  0.026,  0.000,  0.013,  4.237, 23.975,  9.869, 51.472,n
63279,  0.006,  0.000,  0.026,  0.000,  0.003,  4.632, 24.388, 10.216, 47.362,n
63280,  0.006,  0.000,  0.027,  0.000,  0.016,  5.048, 24.713, 10.644, 42.849,n
63283,  0.006,  0.000,  0.027,  0.000,  1.251,  5.398, 25.005, 11.172, 39.430,p
63284,  0.056,  0.062,  0.075,  0.055,  1.714,  5.559, 24.417, 11.823, 36.722,p
63285,  0.125,  0.172,  0.129,  0.121,  1.791,  5.526, 24.704, 12.586, 34.455,n
63286,  0.196,  0.282,  0.177,  0.169,  2.495,  5.599, 24.377, 13.294, 30.805,n
63287,  0.294,  0.491,  0.241,  0.251,  3.922,  4.834, 41.660, 13.643, 26.145,n
63288,  0.449,  1.012,  0.347,  0.489,  6.055,  4.219, 49.552, 13.925, 22.531,n
63289,  0.689,  2.255,  0.510,  1.045,  9.266,  3.376, 58.456, 14.100, 20.287,n
63290,  1.058,  5.161,  0.736,  2.096, 12.840,  2.464, 61.273, 14.159, 19.550,n
63291,  1.571, 10.626,  1.030,  3.837, 14.945,  1.499, 59.474, 14.110, 20.122,n
63292,  2.170, 17.597,  1.394,  6.417, 13.218,  0.626, 57.202, 13.996, 21.420,n
63296,  2.700, 22.190,  1.794,  9.282,  3.654,  0.068, 61.465, 13.633, 23.517,n
63297,  2.846, 21.902,  2.416, 16.660,  5.531, -0.493, 62.950, 13.129, 25.923,n
63298,  3.067, 21.813,  3.110, 25.250,  3.238, -0.848, 63.346, 12.520, 28.553,n
63299,  3.197, 21.401,  3.844, 34.000,  2.263, -1.112, 63.374, 11.878, 30.924,n
63300,  3.288, 21.000,  4.581, 41.713,  1.065, -1.282, 63.326, 11.252, 33.496,n
63305,  3.331, 20.753,  5.277, 47.216,  1.723, -1.446, 62.972, 10.588, 35.296,n
63306,  3.400, 20.392,  5.993, 52.194, -0.227, -1.464, 62.935,  9.892, 36.996,n
63307,  3.391, 20.459,  6.702, 55.953, -0.027, -1.466, 62.928,  9.238, 38.822,n
63308,  3.390, 20.467,  7.357, 57.571,  1.174, -1.513, 62.725,  8.569, 39.572,n
63309,  3.437, 20.190,  8.025, 58.523,  3.985, -1.672, 61.537,  7.883, 39.053,n
63310,  3.596, 19.685,  8.711, 58.848,  6.292, -1.922, 58.950,  7.204, 37.702,n
63333,  3.848, 19.383,  9.389, 58.074, 13.281, -2.452, 49.186,  6.961, 39.741,n
63335,  4.379, 22.177,  9.632, 54.812, -3.539, -2.309, 49.373,  6.725, 41.649,n
63336,  4.237, 23.975,  9.869, 51.472,  9.871, -2.702, 43.262,  6.378, 43.231,n
63337,  4.632, 24.388, 10.216, 47.362, 10.414, -3.118, 36.225,  5.950, 43.932,n
63338,  5.048, 24.713, 10.644, 42.849,  9.995, -3.519, 29.289,  5.376, 42.059,n
63339,  5.398, 25.005, 11.172, 39.430,  5.760, -3.749, 26.161,  4.673, 36.467,n
63340,  5.559, 24.417, 11.823, 36.722,  0.966, -3.789, 25.814,  3.862, 26.463,n
63341,  5.526, 24.704, 12.586, 34.455,  4.311, -3.962, 23.636,  3.092, 16.512,n
63360,  5.599, 24.377, 13.294, 30.805,-15.191, -3.359, 18.627,  2.636, 13.778,n
63361,  4.834, 41.660, 13.643, 26.145, -9.320, -2.986, 17.472,  2.192, 10.848,n
63362,  4.219, 49.552, 13.925, 22.531,-11.810, -2.514, 14.365,  1.791,  8.292,n
63363,  3.376, 58.456, 14.100, 20.287, -9.964, -2.116, 12.148,  1.437,  6.198,n
63364,  2.464, 61.273, 14.159, 19.550, -9.192, -1.748, 10.107,  1.120,  4.417,n
63365,  1.499, 59.474, 14.110, 20.122, -8.594, -1.403,  8.160,  0.834,  2.855,n
63366,  0.626, 57.202, 13.996, 21.420,-10.294, -0.991,  4.772,  0.575,  1.473,n
63367,  0.068, 61.465, 13.633, 23.517, -8.496, -0.651,  2.347,  0.384,  0.705,n
63368, -0.493, 62.950, 13.129, 25.923, -5.648, -0.425,  1.271,  0.260,  0.379,n
63369, -0.848, 63.346, 12.520, 28.553, -4.323, -0.252,  0.615,  0.165,  0.180,n
63370, -1.112, 63.374, 11.878, 30.924, -3.191, -0.124,  0.240,  0.096,  0.070,n
63371, -1.282, 63.326, 11.252, 33.496, -2.380, -0.029,  0.019,  0.045,  0.005,u
63372, -1.446, 62.972, 10.588, 35.296, -0.678, -0.002,  0.001,  0.031,  0.000,n
63373, -1.464, 62.935,  9.892, 36.996, -0.080,  0.001,  0.001,  0.029,  0.000,n
63374, -1.466, 62.928,  9.238, 38.822, -0.001,  0.001,  0.001,  0.029,  0.000,n
63375, -1.513, 62.725,  8.569, 39.572,  0.020,  0.001,  0.001,  0.029,  0.000,n
63376, -1.672, 61.537,  7.883, 39.053,  0.027,  0.000,  0.001,  0.028,  0.000,n
63377, -1.922, 58.950,  7.204, 37.702,  0.033, -0.001,  0.001,  0.028,  0.000,n
63378, -2.452, 49.186,  6.961, 39.741,  0.034, -0.002,  0.001,  0.028,  0.000,n
63379, -2.309, 49.373,  6.725, 41.649,  0.048, -0.003,  0.001,  0.027,  0.000,n
63380, -2.702, 43.262,  6.378, 43.231,  0.032, -0.005,  0.001,  0.027,  0.000,n
63385, -3.118, 36.225,  5.950, 43.932, -0.035, -0.003,  0.000,  0.025,  0.000,n
63386, -3.519, 29.289,  5.376, 42.059, -0.004, -0.003,  0.000,  0.023,  0.000,n
63387, -3.749, 26.161,  4.673, 36.467, -0.015, -0.003,  0.000,  0.021,  0.000,n
63388, -3.789, 25.814,  3.862, 26.463, -0.037, -0.002,  0.000,  0.020,  0.000,n
63389, -3.962, 23.636,  3.092, 16.512, -0.094,  0.001,  0.000,  0.018,  0.000,n
63394, -3.359, 18.627,  2.636, 13.778,  0.002,  0.001,  0.000,  0.017,  0.000,n
63395, -2.986, 17.472,  2.192, 10.848, -0.009,  0.001,  0.000,  0.016,  0.000,n
63396, -2.514, 14.365,  1.791,  8.292, -0.010,  0.001,  0.000,  0.015,  0.000,n
63397, -2.116, 12.148,  1.437,  6.198,  0.005,  0.001,  0.000,  0.014,  0.000,n
63398, -1.748, 10.107,  1.120,  4.417,  0.015,  0.000,  0.000,  0.013,  0.000,n
63403, -1.403,  8.160,  0.834,  2.855,  0.002,  0.002,  0.000,  0.013,  0.000,n
63404, -0.991,  4.772,  0.575,  1.473,  0.017,  0.016,  0.006,  0.019,  0.001,n
63405, -0.651,  2.347,  0.384,  0.705,  0.006,  0.126,  0.303,  0.067,  0.061,n
63406, -0.425,  1.271,  0.260,  0.379,  0.003,  0.367,  1.697,  0.175,  0.344,n
63407, -0.252,  0.615,  0.165,  0.180, -0.002,  0.710,  4.378,  0.329,  0.894,n
63408, -0.124,  0.240,  0.096,  0.070,  0.001,  1.125,  8.069,  0.518,  1.666,n
63412, -0.029,  0.019,  0.045,  0.005, -0.016,  1.636, 13.370,  0.765,  2.943,n
63432, -0.002,  0.001,  0.031,  0.000,  0.001,  2.108, 17.341,  1.075,  4.846,n
63433,  0.001,  0.001,  0.029,  0.000,  0.005,  2.507, 19.577,  1.458,  7.664,n
63434,  0.001,  0.001,  0.029,  0.000,  0.013,  2.888, 21.229,  1.922, 11.635,n
63435,  0.001,  0.001,  0.029,  0.000,  0.009,  3.300, 22.993,  2.461, 16.753,n
63436,  0.000,  0.001,  0.028,  0.000,  0.013,  3.635, 23.506,  3.062, 22.716,n
63437, -0.001,  0.001,  0.028,  0.000,  0.012,  3.884, 23.178,  3.711, 29.103,n
63438, -0.002,  0.001,  0.028,  0.000,  0.006,  4.062, 22.531,  4.384, 35.248,n
63439, -0.003,  0.001,  0.027,  0.000, -0.003,  4.169, 21.911,  5.071, 40.797,n
63440, -0.005,  0.001,  0.027,  0.000, -0.001,  4.212, 21.583,  5.788, 46.091,n
63441, -0.003,  0.000,  0.025,  0.000, -0.008,  4.227, 21.458,  6.548, 51.371,n
63442, -0.003,  0.000,  0.023,  0.000, -0.009,  4.201, 21.706,  7.307, 55.422,n
63443, -0.003,  0.000,  0.021,  0.000, -0.010,  3.760, 30.409,  8.034, 57.591,n
63444, -0.002,  0.000,  0.020,  0.000, -0.010,  3.405, 36.348,  8.722, 57.912,n
63445,  0.001,  0.000,  0.018,  0.000, -0.008,  3.066, 41.637,  9.372, 56.675,n
63446,  0.001,  0.000,  0.017,  0.000, -0.008,  2.988, 42.296, 10.083, 55.439,n
63447,  0.001,  0.000,  0.016,  0.000, -0.005,  2.998, 42.232, 10.828, 53.674,n
63448,  0.001,  0.000,  0.015,  0.000, -0.003,  3.052, 41.967, 11.540, 50.287,n
63449,  0.001,  0.000,  0.014,  0.000,  0.001,  2.603, 49.868, 12.227, 45.574,n
63450,  0.000,  0.000,  0.013,  0.000,  0.031,  2.725, 49.586, 12.981, 40.609,n
63451,  0.002,  0.000,  0.013,  0.000,  0.385,  2.774, 49.407, 13.778, 35.226,n
63452,  0.016,  0.006,  0.019,  0.001,  2.741,  2.625, 49.972, 14.629, 31.109,p
63453,  0.126,  0.303,  0.067,  0.061,  6.035,  2.533, 49.531, 15.453, 27.649,n
63454,  0.367,  1.697,  0.175,  0.344,  8.579,  1.469, 64.422, 16.212, 23.766,n
63455,  0.710,  4.378,  0.329,  0.894, 10.374,  0.831, 62.757, 16.937, 19.590,n
63456,  1.125,  8.069,  0.518,  1.666, 12.746,  0.141, 57.533, 17.653, 16.413,n
63457,  1.636, 13.370,  0.765,  2.943, 11.811, -0.448, 51.885, 18.314, 13.685,n
63458,  2.108, 17.341,  1.075,  4.846,  9.987, -0.988, 47.436, 18.997, 12.921,n
63459,  2.507, 19.577,  1.458,  7.664,  9.543, -2.117, 54.535, 19.507, 11.569,n
63460,  2.888, 21.229,  1.922, 11.635, 10.295, -3.289, 58.595, 19.820, 10.091,n
63461,  3.300, 22.993,  2.461, 16.753,  8.391, -4.519, 66.479, 19.988,  9.122,n
63462,  3.635, 23.506,  3.062, 22.716,  6.246, -5.783, 78.073, 19.966,  9.311,n
63463,  3.884, 23.178,  3.711, 29.103,  4.437, -7.108, 93.758, 19.783, 11.335,n
63464,  4.062, 22.531,  4.384, 35.248,  2.679, -7.297, 90.802, 19.176, 23.820,n
63465,  4.169, 21.911,  5.071, 40.797,  1.074, -7.138, 94.198, 18.642, 32.318,n
63466,  4.212, 21.583,  5.788, 46.091,  0.366, -7.059, 95.593, 17.975, 42.960,n
63467,  4.227, 21.458,  6.548, 51.371, -0.663, -7.129, 94.783, 17.301, 52.913,n
63471,  4.201, 21.706,  7.307, 55.422,-11.013, -6.465,100.423, 16.663, 61.908,n
63472,  3.760, 30.409,  8.034, 57.591, -8.884, -5.843,106.966, 16.118, 68.717,n


60533,  0.766,  7.214,  1.758,  1.878,  1.431, -0.769,  2.415,  1.254,  1.290,n
60534,  0.829,  7.195,  1.881,  1.895, -0.088, -0.771,  2.412,  1.151,  1.074,n
60535,  0.823,  7.205,  2.004,  1.899,  0.794, -0.817,  2.316,  1.057,  0.864,n
60536,  0.855,  7.175,  2.122,  1.854, -3.475, -0.672,  2.038,  0.961,  0.644,n
60537,  0.713,  7.910,  2.238,  1.777, -4.063, -0.494,  1.572,  0.874,  0.470,n
60538,  0.536,  8.822,  2.347,  1.621, -2.596, -0.373,  1.409,  0.804,  0.338,n
60539,  0.434,  9.207,  2.442,  1.428, -2.245, -0.267,  1.276,  0.748,  0.237,n
60540,  0.345,  9.489,  2.521,  1.244, -2.699, -0.159,  1.021,  0.702,  0.159,n
60541,  0.237,  9.858,  2.590,  1.055, -3.237, -0.046,  0.615,  0.658,  0.093,n
