@relation accelerometer

@attribute time numeric
@attribute averageOfVariDiffOfPrecedingWindows numeric
@attribute varianceOfVariDiffOfPrecedingWindows numeric
@attribute averageOfAverageOfPrecedingWindows numeric
@attribute varianceOfAverageOfPrecedingWindows numeric
@attribute variDiffOfCurWindow numeric
@attribute averageOfVariDiffOfSucceedingWindows numeric
@attribute varianceOfVariDiffOfSucceedingWindows numeric
@attribute averageOfAverageOfSucceedingWindows numeric
@attribute varianceOfAverageOfSucceedingWindows numeric
@attribute class {n,p,u}

@data
66721,  0.012,  0.000,  0.013,  0.000,  0.079,  0.049,  0.030,  0.081,  0.017,n
66722,  0.015,  0.001,  0.016,  0.000,  0.080,  0.065,  0.037,  0.091,  0.020,n
66723,  0.018,  0.001,  0.020,  0.001,  0.086,  0.081,  0.044,  0.101,  0.022,n
66724,  0.021,  0.001,  0.023,  0.001,  0.057,  0.072,  0.047,  0.109,  0.023,n
66725,  0.023,  0.001,  0.026,  0.001, -0.014,  0.055,  0.058,  0.117,  0.024,n
66726,  0.022,  0.001,  0.028,  0.001, -0.107,  0.041,  0.067,  0.126,  0.025,n
66727,  0.018,  0.002,  0.031,  0.001, -0.105,  0.029,  0.074,  0.134,  0.026,n
66728,  0.013,  0.002,  0.033,  0.001, -0.105,  0.018,  0.081,  0.143,  0.026,n
66729,  0.009,  0.003,  0.035,  0.001, -0.105,  0.006,  0.087,  0.151,  0.026,n
66730,  0.005,  0.003,  0.038,  0.001, -0.092,  0.004,  0.088,  0.154,  0.026,n
66731,  0.002,  0.004,  0.040,  0.001, -0.045,  0.007,  0.087,  0.154,  0.026,n
66732,  0.000,  0.004,  0.040,  0.001,  0.002,  0.005,  0.088,  0.155,  0.026,n
66733,  0.001,  0.004,  0.041,  0.001,  0.002,  0.004,  0.088,  0.156,  0.025,n
66734,  0.001,  0.004,  0.041,  0.001,  0.002,  0.002,  0.088,  0.157,  0.025,n
66735,  0.001,  0.004,  0.041,  0.001,  0.006,  0.001,  0.088,  0.158,  0.025,n
66736,  0.001,  0.004,  0.041,  0.001,  0.006,  0.000,  0.088,  0.159,  0.024,n
66737,  0.001,  0.004,  0.041,  0.001, -0.001, -0.000,  0.088,  0.160,  0.024,n
66738,  0.001,  0.004,  0.041,  0.001, -0.001,  0.001,  0.088,  0.161,  0.024,n
66743,  0.000,  0.004,  0.041,  0.001, -0.005,  0.001,  0.088,  0.162,  0.024,n
66744, -0.002,  0.004,  0.040,  0.001,  0.016,  0.001,  0.088,  0.162,  0.023,n
66745, -0.004,  0.004,  0.039,  0.001,  0.032,  0.001,  0.088,  0.163,  0.023,n
66746, -0.005,  0.003,  0.039,  0.001,  0.050, -0.001,  0.088,  0.163,  0.023,n
66747, -0.005,  0.004,  0.039,  0.001,  0.041, -0.002,  0.088,  0.163,  0.023,n
66748, -0.004,  0.004,  0.039,  0.001,  0.372, -0.017,  0.081,  0.150,  0.023,n
66749,  0.011,  0.009,  0.051,  0.005,  0.541, -0.039,  0.068,  0.132,  0.018,n
66750,  0.032,  0.020,  0.068,  0.012,  0.511, -0.060,  0.055,  0.117,  0.015,n
66751,  0.049,  0.030,  0.081,  0.017,  0.485, -0.079,  0.042,  0.104,  0.013,n
66752,  0.065,  0.037,  0.091,  0.020,  0.492, -0.099,  0.029,  0.093,  0.011,n
66753,  0.081,  0.044,  0.101,  0.022, -0.169, -0.090,  0.029,  0.084,  0.010,n
66754,  0.072,  0.047,  0.109,  0.023, -0.456, -0.070,  0.024,  0.075,  0.008,n
66755,  0.055,  0.058,  0.117,  0.024, -0.440, -0.050,  0.019,  0.066,  0.006,n
66756,  0.041,  0.067,  0.126,  0.025, -0.404, -0.032,  0.014,  0.057,  0.005,n
66757,  0.029,  0.074,  0.134,  0.026, -0.395, -0.015,  0.008,  0.049,  0.003,n
66758,  0.018,  0.081,  0.143,  0.026, -0.398,  0.003,  0.002,  0.042,  0.000,n
66759,  0.006,  0.087,  0.151,  0.026, -0.139,  0.013,  0.001,  0.042,  0.001,n
66760,  0.004,  0.088,  0.154,  0.026,  0.011,  0.016,  0.001,  0.046,  0.001,n
66761,  0.007,  0.087,  0.154,  0.026, -0.035,  0.021,  0.001,  0.049,  0.001,n
66762,  0.005,  0.088,  0.155,  0.026, -0.035,  0.026,  0.002,  0.053,  0.001,n
66763,  0.004,  0.088,  0.156,  0.025, -0.033,  0.027,  0.001,  0.056,  0.001,n
66764,  0.002,  0.088,  0.157,  0.025, -0.028,  0.022,  0.002,  0.059,  0.001,n
66765,  0.001,  0.088,  0.158,  0.025, -0.013,  0.018,  0.003,  0.062,  0.001,n
66766,  0.000,  0.088,  0.159,  0.024, -0.007,  0.014,  0.004,  0.064,  0.001,n
66767, -0.000,  0.088,  0.160,  0.024,  0.018,  0.009,  0.004,  0.068,  0.001,n
66768,  0.001,  0.088,  0.161,  0.024,  0.016,  0.005,  0.005,  0.071,  0.001,n
66769,  0.001,  0.088,  0.162,  0.024,  0.018,  0.002,  0.005,  0.073,  0.001,n
66770,  0.001,  0.088,  0.162,  0.023,  0.013,  0.002,  0.005,  0.074,  0.001,n
66771,  0.001,  0.088,  0.163,  0.023,  0.013,  0.002,  0.005,  0.074,  0.001,n
66772, -0.001,  0.088,  0.163,  0.023,  0.002,  0.002,  0.005,  0.075,  0.001,n
66773, -0.002,  0.088,  0.163,  0.023,  0.005,  0.001,  0.005,  0.075,  0.001,n
66774, -0.017,  0.081,  0.150,  0.023, -0.004,  0.001,  0.005,  0.076,  0.001,n
66775, -0.039,  0.068,  0.132,  0.018, -0.016,  0.002,  0.005,  0.076,  0.001,n
66776, -0.060,  0.055,  0.117,  0.015, -0.003,  0.001,  0.005,  0.077,  0.001,n
66777, -0.079,  0.042,  0.104,  0.013,  0.014,  0.002,  0.005,  0.077,  0.001,n
66778, -0.099,  0.029,  0.093,  0.011,  0.049,  0.002,  0.005,  0.077,  0.001,n
66779, -0.090,  0.029,  0.084,  0.010,  0.050,  0.006,  0.006,  0.078,  0.001,n
66780, -0.070,  0.024,  0.075,  0.008,  0.054,  0.007,  0.006,  0.081,  0.001,n
66781, -0.050,  0.019,  0.066,  0.006,  0.044,  0.013,  0.007,  0.086,  0.001,n
66782, -0.032,  0.014,  0.057,  0.005,  0.028,  0.017,  0.008,  0.091,  0.002,n
